market,commodity,year,month,cpi
Kumasi,Yam,2015,12,123.1852
Kumasi,Yam,2016,1,130.3701
Kumasi,Yam,2016,2,131.1867
Kumasi,Yam,2016,3,132.2356
Kumasi,Yam,2016,4,134.2526
Kumasi,Yam,2016,5,135.9292
Kumasi,Yam,2016,6,137.9933
Kumasi,Yam,2016,7,136.92
Kumasi,Yam,2016,8,135.0664
Kumasi,Yam,2016,9,131.7905
Kumasi,Yam,2016,10,131.4893
Kumasi,Yam,2016,11,133.5423
Kumasi,Yam,2016,12,135.1228
Kumasi,Yam,2017,1,139.5017
Kumasi,Yam,2017,2,140.5844
Kumasi,Yam,2017,3,141.8227
Kumasi,Yam,2017,4,143.2019
Kumasi,Yam,2017,5,144.5164
Kumasi,Yam,2017,6,146.5159
Kumasi,Yam,2017,7,146.8
Kumasi,Yam,2017,8,145
Kumasi,Yam,2017,9,142.4703
Kumasi,Yam,2017,10,142.2714
Kumasi,Yam,2017,11,
Kumasi,Yam,2017,12,
Obuasi,Maize,2008,1,214.5
Obuasi,Maize,2008,2,220.7
Obuasi,Maize,2008,3,225.7
Obuasi,Maize,2008,4,231.3
Obuasi,Maize,2008,5,243.5
Obuasi,Maize,2008,6,249.1
Obuasi,Maize,2008,7,251
Obuasi,Maize,2008,8,248.6
Obuasi,Maize,2008,9,243.8
Obuasi,Maize,2008,10,236.9
Obuasi,Maize,2008,11,241.1
Obuasi,Maize,2008,12,246.7
Obuasi,Maize,2009,1,256.2
Obuasi,Maize,2009,2,262.5
Obuasi,Maize,2009,3,267.5
Obuasi,Maize,2009,4,276
Obuasi,Maize,2009,5,285.3
Obuasi,Maize,2009,6,287.8
Obuasi,Maize,2009,7,289.1
Obuasi,Maize,2009,8,285.3
Obuasi,Maize,2009,9,275
Obuasi,Maize,2009,10,269
Obuasi,Maize,2009,11,271
Obuasi,Maize,2009,12,275.9
Obuasi,Maize,2010,1,279.5
Obuasi,Maize,2010,2,284
Obuasi,Maize,2010,3,287.1
Obuasi,Maize,2010,4,292.1
Obuasi,Maize,2010,5,298.6
Obuasi,Maize,2010,6,305.4
Obuasi,Maize,2010,7,306
Obuasi,Maize,2010,8,300.5
Obuasi,Maize,2010,9,290.6
Obuasi,Maize,2010,10,284.1
Obuasi,Maize,2010,11,285.4
Obuasi,Maize,2010,12,288.3
Obuasi,Maize,2011,1,293
Obuasi,Maize,2011,2,297
Obuasi,Maize,2011,3,300.6
Obuasi,Maize,2011,4,304.3
Obuasi,Maize,2011,5,310.4
Obuasi,Maize,2011,6,313.9
Obuasi,Maize,2011,7,316
Obuasi,Maize,2011,8,311.9
Obuasi,Maize,2011,9,301.4
Obuasi,Maize,2011,10,295.6
Obuasi,Maize,2011,11,298
Obuasi,Maize,2011,12,300.6
Obuasi,Maize,2012,1,97.4958
Obuasi,Maize,2012,2,98.641
Obuasi,Maize,2012,3,98.641
Obuasi,Maize,2012,4,101.4071
Obuasi,Maize,2012,5,101.4071
Obuasi,Maize,2012,6,102.1679
Obuasi,Maize,2012,7,103.9148
Obuasi,Maize,2012,8,101.9171
Obuasi,Maize,2012,9,97.3699
Obuasi,Maize,2012,10,98.5842
Obuasi,Maize,2012,11,98.9502
Obuasi,Maize,2012,12,99.6234
Obuasi,Maize,2013,1,105.273
Obuasi,Maize,2013,2,105.273
Obuasi,Maize,2013,3,105.273
Obuasi,Maize,2013,4,108.0738
Obuasi,Maize,2013,5,108.0738
Obuasi,Maize,2013,6,109.6575
Obuasi,Maize,2013,7,111.53
Obuasi,Maize,2013,8,110.0008
Obuasi,Maize,2013,9,106.0242
Obuasi,Maize,2013,10,105.3739
Obuasi,Maize,2013,11,106.1582
Obuasi,Maize,2013,12,106.8374
Obuasi,Maize,2014,1,112.7433
Obuasi,Maize,2014,2,113.1858
Obuasi,Maize,2014,3,113.92
